Adverse Event ID,SOC ID
10012735.0,10017947.0
10055798.0,10047065.0
10020772.0,10047065.0
10029354.0,10005329.0
10002034.0,10005329.0
10003239.0,10028395.0
10003658.0,10007541.0
10050584.0,10022117.0
10072268.0,10019805.0
10019211.0,10029205.0
10019851.0,10019805.0
10021789.0,10021881.0
10025280.0,10005329.0
10034754.0,10040785.0
10035664.0,10021881.0
10037844.0,10040785.0
10043554.0,10005329.0
10046306.0,10021881.0
10000081.0,10017947.0
10001551.0,10022891.0
10003119.0,10007541.0
10003481.0,10022891.0
10003549.0,10018065.0
10003662.0,10007541.0
10051313.0,10022891.0
10003988.0,10028395.0
10005364.0,10022891.0
10005483.0,10022891.0
10005595.0,10022891.0
10005600.0,10022891.0
10060360.0,10010331.0
10007269.0,10022117.0
10061024.0,10007541.0
10072043.0,10029205.0
10010774.0,10017947.0
10011224.0,10038738.0
10066274.0,10005329.0
10011906.0,10018065.0
10013573.0,10029205.0
10013968.0,10038738.0
10014080.0,10040785.0
10014581.0,10021881.0
10015090.0,10038738.0
10016256.0,10018065.0
10016288.0,10005329.0
10017533.0,10021881.0
10018852.0,10047065.0
10018867.0,10038359.0
10018884.0,10022891.0
10058827.0,10021881.0
10021015.0,10027433.0
10021425.0,10021428.0
10021688.0,10005329.0
10024384.0,10005329.0
10025256.0,10022891.0
10028334.0,10028395.0
10028391.0,10028395.0
10028411.0,10028395.0
10028810.0,10021881.0
10028813.0,10017947.0
10029366.0,10022891.0
10030124.0,10018065.0
10076205.0,10017947.0
10035528.0,10022891.0
10037087.0,10040785.0
10037660.0,10018065.0
10039801.0,10029104.0
10040047.0,10021881.0
10040753.0,10021881.0
10046571.0,10021881.0
10047281.0,10007541.0
10047700.0,10017947.0
10000059.0,10017947.0
10000060.0,10017947.0
10000087.0,10017947.0
10051592.0,10007541.0
10001507.0,10005329.0
10001760.0,10040785.0
10002016.0,10022891.0
10002198.0,10021428.0
10059245.0,10047065.0
10002855.0,10037175.0
10003130.0,10007541.0
10003246.0,10028395.0
10003285.0,10028395.0
10074171.0,10021881.0
10060945.0,10021881.0
10004146.0,10029104.0
10005003.0,10029104.0
10059570.0,10022891.0
10005395.0,10022891.0
10061590.0,10005329.0
10005557.0,10022891.0
10049471.0,10022891.0
10005724.0,10022891.0
10005725.0,10022891.0
10005861.0,10022891.0
10006002.0,10028395.0
10006448.0,10021881.0
10006451.0,10021881.0
10006473.0,10021881.0
10074170.0,10021881.0
10007554.0,10007541.0
10048610.0,10007541.0
10007649.0,10007541.0
10007739.0,10015919.0
10007882.0,10021881.0
10008111.0,10029205.0
10008190.0,10029205.0
10008479.0,10018065.0
10008531.0,10018065.0
10009887.0,10017947.0
10010264.0,10018065.0
10010719.0,10015919.0
10010741.0,10021881.0
10084268.0,10021881.0
10084380.0,10021881.0
10011781.0,10021881.0
10011831.0,10021881.0
10061428.0,10027433.0
10012431.0,10040785.0
10012432.0,10040785.0
10012434.0,10040785.0
10013687.0,10040785.0
10013700.0,10021428.0
10013710.0,10018065.0
10013774.0,10015919.0
10013781.0,10017947.0
10013786.0,10040785.0
10013911.0,10029205.0
10013946.0,10017947.0
10015150.0,10040785.0
10080751.0,10022117.0
10015926.0,10015919.0
10016173.0,10022117.0
10016852.0,10036585.0
10055690.0,10036585.0
10061157.0,10036585.0
10060919.0,10010331.0
1000000108.0,10036585.0
10016936.0,10021881.0
10017577.0,10018065.0
10017693.0,10022891.0
10017853.0,10017947.0
10017888.0,10021881.0
10017944.0,10017947.0
10017955.0,10017947.0
10064147.0,10017947.0
10017885.0,10017947.0
10018829.0,10028395.0
10018964.0,10038738.0
10018985.0,10029205.0
10018999.0,10040785.0
10019027.0,10038738.0
10019670.0,10019805.0
10019973.0,10021881.0
10019974.0,10021881.0
10020464.0,10021428.0
10020635.0,10027433.0
10020869.0,10027433.0
10020903.0,10027433.0
10020942.0,10027433.0
10020983.0,10021428.0
10021036.0,10027433.0
10021058.0,10027433.0
10083842.0,10005329.0
10061598.0,10021428.0
10021450.0,10010331.0
10022000.0,10021881.0
10022437.0,10037175.0
10022611.0,10038738.0
10023547.0,10022891.0
10023874.0,10021881.0
10024264.0,10029205.0
10024378.0,10005329.0
10024574.0,10022891.0
10024670.0,10019805.0
10024968.0,10021881.0
10025102.0,10038738.0
10058467.0,10029104.0
10025258.0,10022891.0
10025327.0,10005329.0
10025482.0,10018065.0
10025650.0,10029104.0
10027175.0,10029205.0
10028024.0,10017947.0
10028034.0,10017947.0
10050819.0,10028395.0
10053156.0,10028395.0
10028533.0,10029104.0
10028584.0,10005329.0
10028600.0,10007541.0
10028735.0,10038738.0
10028836.0,10028395.0
10028980.0,10029104.0
10028997.0,10029104.0
10029331.0,10029205.0
10059482.0,10021881.0
10049151.0,10021881.0
10030095.0,10018065.0
10030901.0,10021881.0
